TIPO_REG,U_DPTO,U_MPIO,UA_CLASE,COD_ENCUESTAS,U_VIVIENDA,F_NROHOG,FA1_NRO_FALL,FA2_SEXO_FALL,FA3_EDAD_FALL,FA4_CERT_DEFUN
3,13,001,1,1891471,1,1,1,2,98,1
3,13,001,1,1891573,11,1,1,1,27,1
3,13,001,1,1891793,1,1,1,1,73,1
3,13,001,1,1891952,1,1,1,1,0,9
3,13,001,1,2034268,1,1,1,2,104,1
3,13,001,1,2034739,1,1,1,1,89,1
3,13,001,1,2034739,1,1,2,2,79,1
3,13,001,1,2034849,1,1,1,2,94,1
3,13,001,1,2034980,3,1,1,2,73,1
3,13,001,1,2036018,1,1,1,2,94,1
3,13,001,1,2043634,1,2,1,2,45,1
3,13,001,1,2043721,1,1,1,1,70,1
3,13,001,1,2043772,9,1,1,1,60,1
3,13,001,1,2043772,9,1,2,1,41,1
3,13,001,1,2043888,4,1,1,2,62,1
3,13,001,1,2082271,2,1,1,2,68,1
3,13,001,1,2082300,1,1,1,2,81,1
3,13,001,1,2082317,1,1,1,1,61,1
3,13,001,1,2082362,3,1,1,1,10,1
3,13,001,1,2082411,1,1,1,2,58,1
3,13,001,1,2095101,1,1,1,1,0,2
3,13,001,1,2095101,1,2,1,2,0,2
3,13,001,1,2095175,1,1,1,1,0,2
3,13,001,1,2098102,1,2,1,1,75,9
3,13,001,1,2111172,1,1,1,2,74,1
3,13,001,1,2201319,1,2,1,1,42,1
3,13,001,1,2201352,1,1,1,2,80,1
3,13,001,1,2201352,1,1,2,1,60,1
3,13,001,1,2205514,1,1,1,1,84,1
3,13,001,1,2205514,1,1,2,2,102,1
3,13,001,1,2215515,2,1,1,1,85,1
3,13,001,1,2218068,1,1,1,2,70,9
3,13,001,1,2218071,1,1,1,2,56,9
3,13,001,1,2220869,2,1,1,2,63,1
3,13,001,1,2220894,1,1,1,1,61,1
3,13,001,1,2221406,1,1,1,1,68,1
3,13,001,1,2230844,4,1,1,2,0,9
3,13,001,1,2230844,4,1,2,2,0,9
3,13,001,1,2230844,4,1,3,1,0,9
3,13,001,1,2230844,4,1,4,2,0,9
3,13,001,1,2230883,2,1,1,2,0,9
3,13,001,1,2230883,2,1,2,2,0,9
3,13,001,1,2230883,2,1,3,2,1,9
3,13,001,1,2230883,2,1,4,2,0,9
3,13,001,1,2230974,1,1,1,2,0,9
3,13,001,1,2230974,1,1,2,2,0,9
3,13,001,1,2230974,1,1,3,2,0,9
3,13,001,1,2231106,1,1,1,2,84,1
3,13,001,1,2231238,1,1,1,2,45,1
3,13,001,1,2287390,1,1,1,2,60,1
